972,ㄅㄟ,悲
1046,ㄅㄟ,背
1480,ㄅㄟ,杯
2063,ㄅㄟ,盃
2624,ㄅㄟ,卑
3021,ㄅㄟ,碑
4078,ㄅㄟ,俾
4454,ㄅㄟ,揹
5082,ㄅㄟ,埤
6395,ㄅㄟ,庳
6691,ㄅㄟ,鞞
6899,ㄅㄟ,襬
7357,ㄅㄟ,伓
7762,ㄅㄟ,鵯
8078,ㄅㄟ,椑
9044,ㄅㄟ,桮
10972,ㄅㄟ,藣
13400,ㄅㄟ,萆
14911,ㄅㄟ,箄
246,ㄅㄟˋ,被
548,ㄅㄟˋ,備
1047,ㄅㄟˋ,背
1373,ㄅㄟˋ,輩
1456,ㄅㄟˋ,貝
1602,ㄅㄟˋ,倍
2450,ㄅㄟˋ,臂
3492,ㄅㄟˋ,憊
3619,ㄅㄟˋ,蓓
4540,ㄅㄟˋ,鋇
4599,ㄅㄟˋ,梖
4716,ㄅㄟˋ,狽
4759,ㄅㄟˋ,悖
5201,ㄅㄟˋ,婢
5862,ㄅㄟˋ,焙
6558,ㄅㄟˋ,琲
6694,ㄅㄟˋ,棑
7327,ㄅㄟˋ,怫
7477,ㄅㄟˋ,孛
9101,ㄅㄟˋ,邶
9436,ㄅㄟˋ,珼
9604,ㄅㄟˋ,褙
10765,ㄅㄟˋ,鄁
10960,ㄅㄟˋ,郥
11440,ㄅㄟˋ,偝
12383,ㄅㄟˋ,貏
13324,ㄅㄟˋ,牬
13606,ㄅㄟˋ,鞁
13764,ㄅㄟˋ,奰
14327,ㄅㄟˋ,誖
14384,ㄅㄟˋ,犕
14796,ㄅㄟˋ,萯
14973,ㄅㄟˋ,碚
15103,ㄅㄟˋ,茇
15326,ㄅㄟˋ,糒
428,ㄅㄟˇ,北
4824,ㄅㄟ˙,唄
675,ㄅㄠ,包
1860,ㄅㄠ,胞
4250,ㄅㄠ,褒
4875,ㄅㄠ,苞
6423,ㄅㄠ,孢
6651,ㄅㄠ,煲
9089,ㄅㄠ,蕔
9143,ㄅㄠ,齙
9444,ㄅㄠ,裒
11285,ㄅㄠ,鞄
14563,ㄅㄠ,枹
15170,ㄅㄠ,笣
389,ㄅㄠˋ,報
963,ㄅㄠˋ,抱
1031,ㄅㄠˋ,暴
1298,ㄅㄠˋ,爆
2493,ㄅㄠˋ,袍
3018,ㄅㄠˋ,豹
4401,ㄅㄠˋ,鮑
5622,ㄅㄠˋ,刨
8046,ㄅㄠˋ,鉋
8504,ㄅㄠˋ,菢
9354,ㄅㄠˋ,謈
9554,ㄅㄠˋ,犦
9955,ㄅㄠˋ,袌
10710,ㄅㄠˋ,虣
12978,ㄅㄠˋ,儤
13399,ㄅㄠˋ,趵
13641,ㄅㄠˋ,鑤
14250,ㄅㄠˋ,忁
2129,ㄅㄠˊ,薄
5675,ㄅㄠˊ,雹
10189,ㄅㄠˊ,窇
465,ㄅㄠˇ,保
754,ㄅㄠˇ,寶
2106,ㄅㄠˇ,飽
2337,ㄅㄠˇ,堡
4644,ㄅㄠˇ,葆
5166,ㄅㄠˇ,褓
5860,ㄅㄠˇ,鴇
8801,ㄅㄠˇ,駂
9422,ㄅㄠˇ,怉
10890,ㄅㄠˇ,鳵
13669,ㄅㄠˇ,媬
506,ㄅㄢ,般
593,ㄅㄢ,班
1622,ㄅㄢ,搬
2789,ㄅㄢ,斑
